projectNumber,name,office,projectStatus,duties,lastUpdated,description,architect,externalContact,projectPartner,projectLeader
103555,Southbank Place Buildings 6&7,Birmingham,Appraisal (RIBA stage A),Full Duties,09 Jul 2013,"Buildings 6&7, The Shell Centre. circa 200 apartments total. near London Eye",,,Carl Saxon,Paul Judd
103556,Euston Concourse Lighting Review,Birmingham,Report Only,Report,22 May 2013,Euston Station Concourse Lighting investigation and review with report,,,Carl Saxon,Martin Rigg
103557,Shell Centre Building 4B,Birmingham,Detailed Proposals (RIBA stage D),Full Duties,06 Jun 2013,200 apartments. associated project 0103555 Buildings 6 & 7,,,Carl Saxon,Paul Judd
103558,Unipart UEES Coventry,Birmingham,Appraisal (RIBA stage A),Performance Duties,11 Jun 2013,JV with coventry university. new workshop and lecture rooms,,,Gary Andrews,Paul Judd
103561,Worcester City Council Pools,Birmingham,Ongoing,Other,28 Jun 2013,WCC Swimming Pool bid,,,Mike Tso,Richard Monksmith
103562,south bank place basement,Birmingham,Detailed Proposals (RIBA stage D),Abridged Duties,02 Jul 2013,basement interface with all buildings,,,Carl Saxon,James O'Grady
103563,south bank place marketing suite,Birmingham,Detailed Proposals (RIBA stage D),Abridged Duties,02 Jul 2013,marketing suite,,,Carl Saxon,James O'Grady
103564,Dormer Place,Birmingham,Briefing (RIBA stage B),Report,03 Jul 2013,Extension to Existing Office,,,Carl Saxon,Simon Averill
103566,2 Cornwall Street,Birmingham,Briefing (RIBA stage B),Abridged Duties,09 Jul 2013,"New build office in the centre of Birmingham, circa. 180.000sq ft. Over 10 levels, requiring a BREEAM excellent.",,,Gary Andrews,Sadie Adams
103567,A3 Unit Commercial Street - Shogun Sushi,Birmingham,Ongoing,Other,09 Aug 2013,Kitchen Ventilation Discharge,,,Gary Andrews,Sadie Adams
103568,Rathbone Market Phase 2,Birmingham,Construction (RIBA stage K),Other,10 Jul 2013,Rathbone Market Phase 2.,,,Richard Brown,Chia Huay Lau
103569,Alder Hey OPD,Birmingham,Detailed Proposals (RIBA stage D),Abridged Duties,11 Jul 2013,Part of the Alder Hey project,,,Steve Clifford,Sadie Adams
103571,"Building 518, Tyre Store, Jaguar, Gaydon",Birmingham,Ongoing,Other,17 Jul 2013,Tyre Store,,,Mike Tso,Florin Burlacu
103574,New College Nottingham,Birmingham,Briefing (RIBA stage B),Performance Duties,20 Aug 2013,£27 million (inc FFE fees and VAT) new development of 12000msq new construction college,,,Clive Higham,Simon Averill
103575,Graven MPD,Birmingham,Appraisal (RIBA stage A),Other,21 Aug 2013,"Master planning of an old MOD site into residential village/town with school,shops,workplaces etc",,,Clive Higham,Simon Averill
103576,Royal Holloway University Of London,Birmingham,Outline Proposals (RIBA stage C),Abridged Duties,09 Sep 2013,New library building designed by Associated Architects,,,Clive Higham,Simon Averill
103577,Highbury Square CHP Report,Birmingham,Report Only,Other,11 Sep 2013,CHP report,,,Carl Saxon,Simon Averill
103578,BCU Conservatoire,Birmingham,Appraisal (RIBA stage A),Other,23 Sep 2013,Support to BCU in constructing a case for the relocation of the Conservatoire to the East Side,,,Clive Higham,Paul Judd
103579,IAC Elmdon Trading Estate,Birmingham,Briefing (RIBA stage B),Other,23 Sep 2013,New manufacturing facility,,Sam Darwin,Carl Saxon,Simon Averill
103580,Dumfries and Galloway Royal Infirmary,Birmingham,Outline Proposals (RIBA stage C),Other,10 Oct 2013,Dumfries and Galloway Royal Infirmary with Laing O'Rourke,,,Steve Clifford,David Armstrong
103581,New Covent Garden Market,Birmingham,Outline Proposals (RIBA stage C),Other,11 Oct 2013,Initial stage A/B space planning calculations for 3 sites in 9 Elms total of 2938 residential units. Some of the plots are likely to be sold on by St Modwen.,,,Richard Brown,Stuart Growcott
103582,Thame,Birmingham,Outline Proposals (RIBA stage C),Performance Duties,17 Oct 2013,"Construction of a number of light manufacturing sheds and a new office building on a green field site on the edge of Thame. Windles, Groves, Kuboto and DAF are the proposed tenants",,,Clive Higham,Simon Averill
103583,UPS Southampton,Birmingham,Final Proposals (RIBA stage E),Performance Duties,29 Oct 2013,lighting & heating design for sorting centre,,,Gary Andrews,Simon Averill
182382,Waterloo Mezzanine Extension,Birmingham,Appraisal (RIBA stage A),Full Duties,10 May 2013,Mezzanine Extension at Waterloo Station,,,Carl Saxon,Stuart Growcott
182383,Euston Concourse Lighting Review,Birmingham,Report Only,Report,22 May 2013,Euston Lighting Concourse Review and Investigation with report,,,Carl Saxon,Martin Rigg
209070,Lewisham College Phase 2,London,Appraisal (RIBA stage A),Stage C/D only,28 May 2013,TBC,,,Neil Roberts,Neil Roberts
209074,Southbank Place Building 3,London,Appraisal (RIBA stage A),Full Duties,09 Jul 2013,"The redevelopment of the Shell Centre will comprise 8 new buildings accommodating office, residential, retail, leisure and community uses alongside the retained Shell Tower. The existing basement will be econfigured to provide parking, servicing, plant and upporting infrastructure.",,,Mark Ryder,Nick Harrison
209075,Southbank Place Building 5,London,Appraisal (RIBA stage A),Full Duties,09 Jul 2013,"The redevelopment of The Shell Centre will comprise 8 new buildings accommodating office, residential, retail, leisure and community uses alongside the retained Shell Tower. The existing basement will be reconfigured to provide parking, servicing, plant and supporting infrastructure.","Axis Architects (Camden Town, London)",Chris Lantsbury,Mark Ryder,Mark Harber
209076,Southbank Place Building 4A &4B,London,Appraisal (RIBA stage A),Full Duties,14 Aug 2013,"The redevelopment of The Shell Centre will comprise 8 new buildings accommodating office, residential, retail, leisure and community uses alongside the retained Shell Tower. The existing basement will be reconfigured to provide parking, servicing, plant and supporting infrastructure.",,,Mark Ryder,Richard Vincent
209077,1 Lambeth High Street,London,Outline Proposals (RIBA stage C),Stage C/D only,17 Jun 2013,Hoare Lea has been appointed on the 1 Lambeth High Street scheme. The project comprises the demolition of the existing office accommodation and provision of a new mixed use office and residential scheme with the following accommodation: Approximately 100 new residential units above the podium level. Provision of around 8000sqft of office accommoation over a single floor at ground level. Provision of retail accommodation at ground floor level. Basement area to accommodate car parking and plant.,BDP (London),Martin Simms,Matthew Warner,Mark Doughty
209078,Bishopsgate Goods Yard,London,Outline Proposals (RIBA stage C),Stage C/D only,07 Jun 2013,tbc,PLP Architecture (London),Jon Weston,Tim Rathbone,Adrian Peacock
209079,NPL Teddington - Fume Handling Review,London,Report Only,Full Duties,18 Jun 2013,Feasibility to review and improve operation performance of existing fume handling systems and laboratory ventilation in Unit 8 and 9,,,Miles Freeman,Ian Skinner
209080,"Maple House, 37-45 City Road, London",London,Outline Proposals (RIBA stage C),Full Duties,05 Nov 2013,"Maple House is a Cat A office refurbishment near Old Street, London. Once complete it will comprise over 6000 m2 of office space, with additional retail and external courtyard areas at Ground floor level. The refurbishment scope comprises the replacement of all main central plant, as well as the on-floor services to the offices areas from Basement – 3rd floors. A new 4th floor is to be added to the building. The target market for the refurbished building is the Technology and Media sectors. As such, the aspiration is to provide exposed soffits desired by the target market. Fresh air will be introduced via floor grilles within the raised floor, and cooling will be provided by downflow units located within mechanical risers on each floor. Heating will be provided by a perimeter LTHW system.",Buckley Gray Yeoman (London),Amr Assaad,Tim Rathbone,Linda Sheehan
209081,UPS Manufacturer Review,London,Appraisal (RIBA stage A),Framework Agreement,26 Jun 2013,TBC,,,Neil Roberts,Mark Doughty
209082,Latchmere House,London,Briefing (RIBA stage B),Other,04 Sep 2013,"The Latchmere House scheme will comprise circa 60 No. 3, 4 and 5 bedroom new build houses withthe refurbishment of the 11,000ft2 Latchmere House providing 8 high quality apartments. Hoare Lea is appointed for the MEP services.",MAA Architects (Teddington),Percy Mullany,Mark Ryder,Mark Harber
209083,Argyll Place,London,Appraisal (RIBA stage A),Other,15 Jul 2013,"Hoare Lea has been appointed for the construction phase of the Princess Louise project. The development consists of 37 high end residential units and approximately 500m2 D1 space for use as medical, creche, exhibition centre. The site comprises land and buildings associated with the former Princess Louise Hospital which was vacated in 2005.",,,Matthew Warner,Nick Harrison
209084,Bourne Business Park,London,Outline Proposals (RIBA stage C),Abridged Duties,03 Jul 2013,Project is for the ongoing development of an existing potential new office building which is located on the site. Take scheme through to planning stage.,tp bennett (London),David Blair,Chris Myers,Linda Sheehan
209085,Unit 201 Stoneleigh,London,Appraisal (RIBA stage A),Other,03 Jul 2013,"The project is for the tenant fit-out and tenant changes on a new built 2-storey office building in Stoneleigh park (Warwickshire). The scope will be cat B changes to incorporate beyond the base build tender specification, such as the kitchenette, bar, cellular spaces, ceilings, feature lighting, card reader, smoke curtain, tenant generator and tenant parking barriers.",Consarc Architects (London),Patrick Downes,Mark Ryder,Mark Harber
209086,25-32 Chancery Lane CMT,London,Construction (RIBA stage K),Monitoring,03 Jul 2013,"£35m office development on Chancery Lane, London incorporating retained facades. Retail on ground and lower ground. The development comprises a10,000m2 commercial office building.",,,Tim Rathbone,Richard Vincent
209087,Consulting Advice for Hines,London,Appraisal (RIBA stage A),Other,04 Jul 2013,TBC,,,Mark Ryder,
209088,Wood Wharf Affordable Housing,London,Outline Proposals (RIBA stage C),Other,07 Nov 2013,"Hoare Lea have been appointed by Canary Wharf Contractors Ltd for their Wood Wharf affordable housing and school scheme which comprises the following buildings: Plot H1: Intermediate Housing (10 storeys and a 5 storey extension to be constructed in Phase 4 following road and utilities diversions). Plot H4: Affordable Housing (9 storey) Plot H2: 2 Form Entry Primary Free School (2-3 storey) F2 Affordable (G+6 levels) F3 Affordable (G+3 levels) J5 Affordable (G+ 5 levels) Sports hall below H1, H2 The buildings will also be comprised of lower level space in one or two basement levels containing plant equipment, car parking, bicycle storage and ancillary space as may be required. The buildings will contain space for support, residential community amenity space, and retail space. Hoare Lea’s involvement in the Wood Wharf development covers 6 separate buildings; 4 affordable housing blocks, a primary sch",Allies and Morrison (London),Steve Andrews,Mark Ryder,Linda Sheehan
209089,Lillie Square - Phase 1B and 4,London,Appraisal (RIBA stage A),Other,12 Jul 2013,TBC,,,Saul Tyler,Richard Vincent
209090,Kings Court,London,Detailed Proposals (RIBA stage D),Stage C/D only,13 Aug 2013,"Hoare Lea has been appointed to provide scheme design services for Capco's Kings Court and Carriage Hall mixed use residential complex at the heart of London's Covent Garden district. KFP are appointed as the project architect and Hoare Lea will be providing MEP, Fire and Sustainability services to the £60M development.",Kohn Pederson Fox (KPF) Associates (London),Gavin Mitchell,Clive Williamson,Daniel Wittenberg
209091,Carriage Hall,London,Detailed Proposals (RIBA stage D),Full Duties,13 Aug 2013,"Hoare Lea has been appointed to provide scheme design services for Capco's Kings Court and Carriage Hall mixed use residential complex at the heart of London's Covent Garden district. KFP are appointed as the project architect and Hoare Lea will be providing MEP, Fire and Sustainability services to the £60M development. Carriage Hall is an existing office/retail development located centrally within Covent Garden. The proposed scheme involves converting this space into a large retail development to be occupied by a single tenant. It is envisaged that the occupier will have both A3 and A1 retail outlets with an existing car park below. The building envelope is generally to be retained with minor modifications to create an entirely enclosed 3 storey scheme with internal void to a large glazed roof. Hoare Lea have been appointed to complete the MEP, fire and sustainability works for this development.",Kohn Pedersen Fox Associates (International)PA (London),,Clive Williamson,Linda Sheehan
209092,American Express Post Contract Assistance,London,Appraisal (RIBA stage A),Other,16 Jul 2013,Post contract assistance.,,,Mark Ryder,
209093,NSPCC-Weston House,London,Appraisal (RIBA stage A),Other,01 Nov 2013,"The project is a refurbishment of one of NSPCC’s London offices on Curtain Road, originally built in 1989. It comprises of seven floors of office accommodation, with a childline call centre, which includes a backup generator. The existing mechanical system operates via VAV terminal units and air handling plant, located on the lower ground and fifth floors, with boiler and gas fired calorifiers located in the 5th floor plantroom and a single chiller on the roof. The refurbishment works will remove all existing mechanical plant, retaining all electrical plant and provide a new CAT B office space with VRF fan coil design, new lighting systems and new showering facilities.",Sheppard Robson (London),Gareth Germer,Tim Rathbone,Linda Sheehan
